time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
1.81242,17.59016,-11.79849,-0.05330,-6.01975,-42.37279,-1.43198,1.17769,-12.77962,-0.51772,28.30429,2.40984,0.94670,12.83377,1.00000,0.97592,0.00000
1.84373,17.43706,-13.15829,-0.10045,-3.20532,-43.15458,-1.48045,1.76877,-12.06762,-0.50149,26.96379,2.56294,0.89955,12.19656,1.00000,1.00100,0.00000
1.87617,17.26762,-14.59074,-0.14911,-0.78179,-43.35002,-1.53773,2.34109,-11.25726,-0.48352,25.55575,2.73238,0.85089,11.49811,1.00000,0.96162,0.00000
1.91204,17.07749,-16.02266,-0.20695,0.66452,-43.42820,-1.65816,2.78721,-10.38463,-0.46263,24.15479,2.92251,0.79305,10.75217,1.00000,1.02054,0.00000
1.94721,16.87964,-17.55474,-0.26768,3.67439,-43.15458,-1.72572,3.14131,-9.49121,-0.43783,22.66112,3.12036,0.73232,9.99755,1.00000,0.96513,0.00000
1.97812,16.67431,-19.01801,-0.32175,5.39432,-43.15458,-1.78594,3.47036,-8.73565,-0.41379,21.24392,3.32569,0.67825,9.39974,1.00000,0.86158,0.00000
2.00983,16.50321,-20.33530,-0.37809,7.70059,-42.95913,-1.84762,3.86388,-7.92938,-0.38641,19.97318,3.49679,0.62191,8.82069,1.00000,0.87179,0.00000
2.04426,16.32836,-21.75176,-0.44274,10.67138,-40.92649,-1.86965,4.22408,-7.01471,-0.35330,18.61395,3.67164,0.55726,8.18834,1.00000,0.94471,0.00000
2.07802,16.20122,-23.18497,-0.50699,14.18941,-39.71472,-1.86231,4.45009,-6.08064,-0.32058,17.23879,3.79878,0.49301,7.53508,1.00000,0.86917,0.00000
2.10983,16.07077,-24.55442,-0.56688,16.61295,-38.89384,-1.85497,4.52997,-5.16986,-0.28858,15.93753,3.92923,0.43312,6.87372,1.00000,0.86946,0.00000
2.14807,15.90364,-26.13079,-0.63709,18.99739,-36.54848,-1.79475,4.47768,-4.23947,-0.24604,14.46150,4.09636,0.36291,6.16626,1.00000,0.75483,0.00000
2.17874,15.88597,-27.38512,-0.68879,22.31998,-33.57770,-1.70957,4.37038,-3.55051,-0.21013,13.26877,4.11403,0.31121,5.63084,1.00000,0.75337,0.00000
2.21683,15.84730,-28.83120,-0.75393,24.54807,-30.56782,-1.66404,4.18593,-2.85897,-0.17260,11.91583,4.15270,0.24607,5.06910,1.00000,0.74608,0.00000
2.24866,15.84444,-30.00089,-0.81140,25.17350,-27.44068,-1.56270,3.80795,-2.09793,-0.13534,10.82825,4.15556,0.18860,4.34762,1.00000,0.94092,0.00000
2.28747,15.87562,-31.44469,-0.86453,28.10520,-25.60349,-1.47311,3.28629,-1.37723,-0.09792,9.49757,4.12438,0.13547,3.56321,1.00000,0.87092,0.00000
2.32083,15.93080,-32.62161,-0.91031,27.98793,-22.47634,-1.30714,2.82603,-0.82992,-0.06773,8.42609,4.06920,0.08969,2.94537,1.00000,0.88667,0.00000
2.35984,16.06137,-33.74084,-0.95610,28.26156,-17.51200,-1.16909,2.47124,-0.48225,-0.04181,7.39526,3.93863,0.04390,2.51785,1.00000,0.98263,0.00000
2.39435,16.23310,-35.04704,-0.99300,28.96516,-14.69757,-1.04718,2.07859,-0.26930,-0.02158,6.22265,3.76690,0.00700,2.09596,1.00000,0.86742,0.00000
2.42690,16.43405,-36.06128,-1.02530,28.33974,-11.49225,-0.95759,1.71066,-0.13681,-0.00658,5.31315,3.56595,0.02530,1.71613,1.00000,0.89921,0.00000
2.46131,16.67284,-36.97229,-1.05620,28.37882,-9.02963,-0.86653,1.37232,-0.04509,0.00641,4.49855,3.32716,0.05620,1.37306,1.00000,1.04533,0.00000
